km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,age,selling_price
27233,Diesel,Dealer,Manual,First Owner,27.4,1498.0,98.63,5.0,6,465000
175000,Diesel,Individual,Manual,Second Owner,18.7,1896.0,66.0,5.0,13,195000
60000,Diesel,Individual,Manual,First Owner,21.38,1396.0,88.7,5.0,3,957000
60000,Diesel,Dealer,Automatic,First Owner,0.0,1950.0,194.0,5.0,3,3300000
120000,Diesel,Individual,Manual,First Owner,13.6,2523.0,63.0,7.0,9,280000
76000,Diesel,Dealer,Manual,First Owner,25.47,1248.0,88.5,7.0,3,725000
60000,Diesel,Individual,Automatic,First Owner,15.04,2755.0,174.5,7.0,2,3200000
70000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5.0,1,558000
70000,Petrol,Individual,Manual,Third Owner,18.9,1061.0,67.0,5.0,13,150000
90000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,5.0,7,250000
14317,Petrol,Dealer,Manual,First Owner,14.23,1498.0,104.55,5.0,1,860000
82000,Diesel,Individual,Manual,First Owner,25.83,1498.0,99.0,5.0,2,640000
23500,Petrol,Individual,Manual,First Owner,18.6,1199.0,76.8,5.0,5,250000
5000,Petrol,Individual,Automatic,First Owner,23.84,1199.0,84.0,5.0,2,500000
18000,Diesel,Dealer,Automatic,First Owner,19.62,1998.0,190.0,5.0,2,3350000
71000,Diesel,Dealer,Manual,First Owner,21.64,1461.0,84.8,5.0,6,335000
80000,Diesel,Individual,Manual,Second Owner,19.64,1461.0,108.45,5.0,4,550000
45000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0,4,525000
40200,Diesel,Dealer,Manual,First Owner,21.0,1498.0,74.96,7.0,5,445000
30000,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5.0,2,950000
7500,Petrol,Individual,Automatic,First Owner,21.21,1197.0,81.8,5.0,1,600000
120000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7.0,8,400000
49523,Petrol,Dealer,Manual,First Owner,17.0,1497.0,118.0,5.0,3,675000
120000,Diesel,Individual,Manual,First Owner,19.4,1405.0,70.0,5.0,9,110000
105000,Diesel,Dealer,Manual,First Owner,21.7,1498.0,98.96,5.0,6,550000
80000,Petrol,Individual,Manual,Second Owner,20.85,1197.0,83.14,5.0,4,488000
70000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,6,450000
120000,Petrol,Individual,Manual,First Owner,14.09,1596.0,99.6,5.0,7,350000
80000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,4,350000
200000,Diesel,Individual,Manual,First Owner,22.07,1199.0,73.9,5.0,8,240000
164000,Petrol,Individual,Manual,Third Owner,19.7,796.0,46.3,5.0,17,100000
60000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,11,150000
120000,Diesel,Individual,Manual,Third Owner,17.2,1396.0,53.5,5.0,13,65000
120000,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63.0,7.0,10,315000
120000,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,5.0,7,187000
150000,Diesel,Individual,Manual,Fourth & Above Owner,13.5,2179.0,115.0,5.0,9,450000
110000,Diesel,Individual,Manual,First Owner,18.1,1493.0,110.0,5.0,13,240000
110000,Diesel,Individual,Manual,First Owner,13.58,2499.0,72.4,10.0,6,600000
16000,Diesel,Dealer,Manual,First Owner,17.0,1956.0,167.67,5.0,0,1650000
6000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5.0,0,390000
60000,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,5.0,7,170000
120000,Diesel,Individual,Manual,Third Owner,20.77,1248.0,88.8,7.0,7,600000
120000,Diesel,Individual,Manual,Second Owner,17.8,1399.0,68.0,5.0,9,275000
110000,Petrol,Individual,Manual,Second Owner,14.09,1596.0,99.6,5.0,6,450000
31000,Diesel,Individual,Manual,First Owner,25.4,1186.0,73.97,5.0,3,620000
50000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7.0,5,585000
20000,Diesel,Individual,Manual,First Owner,21.5,1497.0,108.5,5.0,2,980000
16000,Diesel,Dealer,Automatic,First Owner,28.4,1248.0,74.0,5.0,2,790000
100000,Petrol,Individual,Manual,Second Owner,14.53,1798.0,138.1,5.0,11,300000
110000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,13,118000
46000,Diesel,Individual,Automatic,First Owner,16.0,2179.0,140.0,7.0,3,1050000
80000,Diesel,Individual,Manual,Third Owner,22.32,1582.0,126.3,5.0,9,440000
14495,Petrol,Dealer,Manual,First Owner,18.78,999.0,75.0,5.0,2,560000
80000,Diesel,Individual,Manual,First Owner,12.2,1948.0,68.0,10.0,12,200000
100000,Petrol,Individual,Manual,Second Owner,18.5,1197.0,80.0,5.0,8,265000
176062,Diesel,Individual,Manual,First Owner,17.8,1248.0,75.0,5.0,10,400000
28100,Petrol,Dealer,Automatic,First Owner,0.0,1197.0,103.25,5.0,6,575000
7672,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5.0,4,270000
9900,Petrol,Individual,Manual,First Owner,11.96,1298.0,80.0,8.0,1,750000
48000,Diesel,Individual,Manual,Second Owner,16.0,2179.0,140.0,7.0,4,925000
15000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5.0,3,570000
80000,Diesel,Individual,Manual,Second Owner,12.05,2179.0,120.0,9.0,9,550000
201000,Diesel,Individual,Manual,First Owner,17.8,1399.0,68.0,5.0,14,55000
140000,Diesel,Individual,Manual,Second Owner,20.0,1968.0,108.5,5.0,9,270000
90000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5.0,10,350000
60000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,4,459999
100000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5.0,4,375000
70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,3,670000
55000,Diesel,Individual,Automatic,First Owner,11.36,2755.0,171.5,7.0,4,1575000
100000,Diesel,Individual,Manual,Second Owner,25.2,1248.0,74.0,5.0,5,573000
35000,Diesel,Individual,Manual,First Owner,23.9,1582.0,126.2,5.0,3,850000
50000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5.0,5,235000
30528,Petrol,Dealer,Manual,First Owner,18.6,1197.0,81.86,5.0,6,470000
215000,Diesel,Individual,Manual,First Owner,21.0,1461.0,64.1,5.0,9,210000
58000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.1,7.0,9,350000
90000,Diesel,Individual,Manual,Second Owner,24.0,1120.0,70.0,5.0,4,380000
100000,Diesel,Dealer,Manual,First Owner,23.08,1461.0,63.1,5.0,8,245000
94385,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.6,8.0,5,1350000
39000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5.0,15,55000
85000,Diesel,Dealer,Manual,First Owner,24.4,1499.0,98.96,5.0,4,650000
136000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.45,5.0,5,600000
20000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,4,465000
60000,Petrol,Individual,Automatic,Third Owner,16.95,1197.0,78.9,5.0,9,340000
230000,Diesel,Individual,Automatic,First Owner,15.73,1968.0,174.33,5.0,6,1200000
11000,Petrol,Individual,Manual,First Owner,15.8,1591.0,121.3,5.0,2,1220000
40000,Diesel,Individual,Manual,First Owner,25.0,1396.0,69.0,5.0,3,290000
90000,Diesel,Individual,Manual,Second Owner,14.0,2498.0,112.0,8.0,11,300000
40000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,4,220000
30000,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5.0,1,906000
46000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,2,1237000
50000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,3,400000
90000,Diesel,Individual,Manual,Fourth & Above Owner,21.43,1364.0,87.2,5.0,8,476999
81000,Diesel,Dealer,Manual,Second Owner,28.09,1248.0,88.5,5.0,4,650000
23456,Petrol,Dealer,Manual,First Owner,18.9,1197.0,82.0,5.0,3,550000
120000,Diesel,Individual,Manual,First Owner,24.2,1498.0,98.6,7.0,6,490000
70000,Diesel,Individual,Manual,First Owner,15.4,2179.0,120.0,7.0,6,650000
55500,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,5.0,11,175000
128000,Diesel,Individual,Manual,Fourth & Above Owner,12.6,1991.0,112.0,7.0,14,282000
86000,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,5.0,10,245000
70000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5.0,11,150000
30000,Diesel,Individual,Manual,First Owner,17.6,2179.0,153.86,7.0,3,1200000
35000,Diesel,Individual,Manual,First Owner,20.65,1248.0,88.7,5.0,3,484999
50000,Petrol,Individual,Manual,Second Owner,20.51,998.0,67.04,5.0,5,320000
70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,4,745000
10000,Diesel,Individual,Automatic,First Owner,11.36,2755.0,171.5,7.0,2,1745000
25000,Petrol,Individual,Manual,Second Owner,17.5,1199.0,88.7,5.0,3,675000
82300,CNG,Individual,Manual,Second Owner,26.83,796.0,38.4,5.0,8,150000
36422,Petrol,Dealer,Manual,First Owner,18.44,1198.0,75.0,5.0,5,346000
70000,Petrol,Individual,Manual,Second Owner,15.9,1298.0,85.0,5.0,14,135000
112879,Diesel,Dealer,Manual,Second Owner,23.0,1498.0,98.96,5.0,4,570000
110000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,7,525000
46000,Petrol,Individual,Manual,Second Owner,19.1,1197.0,81.86,5.0,6,450000
60000,Petrol,Individual,Manual,Second Owner,18.2,1061.0,64.0,5.0,13,90000
80000,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,7.0,4,640000
60000,Diesel,Individual,Automatic,First Owner,17.68,1968.0,174.33,5.0,6,2200000
80000,Diesel,Individual,Manual,Second Owner,24.0,1120.0,70.0,5.0,5,395000
120000,Diesel,Individual,Manual,Second Owner,17.88,1396.0,52.8,5.0,11,90000
20000,Petrol,Individual,Manual,First Owner,17.01,1591.0,121.4,5.0,4,760000
80000,Diesel,Individual,Manual,Fourth & Above Owner,22.07,1199.0,73.9,5.0,10,250000
20000,Petrol,Individual,Manual,First Owner,19.5,1199.0,88.76,5.0,2,600000
30000,Petrol,Individual,Manual,First Owner,22.7,799.0,53.64,5.0,3,290000
56000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5.0,2,450000
139000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,7.0,4,600000
110000,Petrol,Individual,Manual,Fourth & Above Owner,19.81,1086.0,68.05,5.0,12,185000
56000,Diesel,Individual,Manual,Second Owner,25.1,1498.0,98.6,5.0,6,630000
100000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0,5,350000
125000,Diesel,Individual,Manual,Second Owner,20.0,1399.0,68.0,5.0,9,180000
100000,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,5.0,8,425000
8500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,5.0,1,5500000
100000,Petrol,Individual,Automatic,Second Owner,12.0,1493.0,100.0,5.0,15,110000
20000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0,3,550000
20000,Petrol,Individual,Manual,First Owner,17.0,1198.0,73.75,5.0,3,550000
10000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,1,500000
120000,Diesel,Individual,Manual,Fourth & Above Owner,22.9,1248.0,74.0,5.0,7,300000
59292,Diesel,Dealer,Manual,First Owner,28.4,1248.0,74.0,5.0,5,495000
60000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,62.1,7.0,7,400000
30000,Petrol,Individual,Manual,First Owner,19.0,998.0,66.1,5.0,9,347000
44000,Diesel,Dealer,Automatic,First Owner,22.69,1995.0,190.0,5.0,3,2600000
127000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5.0,3,605000
30000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5.0,3,370000
42000,Petrol,Individual,Automatic,First Owner,18.6,1368.0,98.63,5.0,2,700000
70000,Diesel,Individual,Manual,First Owner,13.68,2393.0,147.8,7.0,2,1576000
35000,Petrol,Individual,Manual,Third Owner,19.44,1198.0,67.0,7.0,5,260000
30000,Petrol,Individual,Manual,Second Owner,18.9,1197.0,81.86,5.0,6,380000
35000,Petrol,Individual,Manual,First Owner,24.0,1199.0,83.81,5.0,2,515000
110000,Diesel,Individual,Manual,First Owner,17.0,1405.0,71.0,5.0,10,200000
65000,Diesel,Individual,Manual,Second Owner,23.4,1248.0,74.0,5.0,6,459999
5000,Petrol,Individual,Automatic,First Owner,21.7,998.0,67.0,5.0,1,475000
46100,Petrol,Dealer,Manual,First Owner,16.02,1373.0,93.7,7.0,6,599000
90000,Diesel,Individual,Manual,First Owner,12.7,2609.0,116.6,8.0,14,350000
70000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,10,180000
11533,Petrol,Trustmark Dealer,Manual,First Owner,14.23,1498.0,104.55,5.0,1,950000
120000,Diesel,Individual,Manual,First Owner,13.93,2179.0,138.03,7.0,8,325000
70000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5.0,6,565000
28451,Petrol,Dealer,Manual,First Owner,18.6,1197.0,81.83,5.0,2,700000
50000,Diesel,Individual,Manual,First Owner,25.8,1498.0,98.6,5.0,7,484999
120000,Diesel,Individual,Manual,First Owner,25.32,1198.0,77.0,6.0,4,357000
32000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5.0,2,580000
90000,Diesel,Individual,Manual,First Owner,20.14,1498.0,88.8,5.0,5,550000
173000,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,5.0,5,635000
25000,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,5.0,2,911999
110000,Diesel,Individual,Manual,Third Owner,22.9,1248.0,74.0,5.0,7,350000
46000,Diesel,Dealer,Automatic,First Owner,18.25,1968.0,187.74,5.0,4,1898999
156060,Diesel,Individual,Manual,First Owner,23.2,1248.0,73.94,5.0,8,280000
4000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5.0,2,540000
15000,Diesel,Individual,Manual,First Owner,16.55,2498.0,105.0,6.0,1,950000
58000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,7,520000
50000,Petrol,Individual,Manual,First Owner,19.81,1086.0,68.05,5.0,5,310000
30000,Diesel,Individual,Manual,First Owner,16.0,1997.0,140.0,7.0,2,1400000
23000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.0,5.0,2,675000
50000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.8,7.0,7,600000
31000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.06,5.0,6,550000
120000,Diesel,Individual,Manual,Second Owner,19.1,1405.0,70.0,5.0,6,200000
111000,Diesel,Individual,Manual,First Owner,20.34,1498.0,103.2,5.0,6,565000
24000,Diesel,Individual,Manual,Second Owner,27.28,1047.0,69.0,5.0,3,350000
50000,Diesel,Individual,Automatic,First Owner,18.49,1493.0,100.0,7.0,3,660000
25000,Petrol,Individual,Manual,First Owner,22.7,799.0,53.64,5.0,3,235000
120000,Diesel,Individual,Manual,Second Owner,12.05,2179.0,120.0,8.0,9,430000
80000,Diesel,Individual,Manual,Second Owner,12.99,2494.0,100.6,7.0,7,750000
102996,Diesel,Individual,Manual,Second Owner,23.4,1248.0,74.0,5.0,7,415000
10000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,6,400000
60000,Diesel,Individual,Manual,First Owner,23.9,1582.0,126.2,5.0,4,803999
80000,Petrol,Individual,Automatic,Third Owner,10.93,3498.0,272.0,5.0,11,1000000
100000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,5,650000
50000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,5,650000
20000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,5.0,3,475000
120000,Diesel,Individual,Manual,First Owner,19.3,1248.0,73.9,5.0,8,310000
56429,Diesel,Dealer,Manual,Second Owner,19.01,1461.0,108.45,5.0,7,525000
110000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,5.0,15,110000
50000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.0,5.0,2,459999
59300,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0,4,240000
148000,Diesel,Individual,Manual,Second Owner,19.09,1396.0,69.0,5.0,10,135000
120000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,5,700000
200000,Diesel,Individual,Manual,First Owner,20.5,1248.0,91.7,5.0,9,280000
120000,Diesel,Individual,Manual,Fourth & Above Owner,16.1,1405.0,70.0,5.0,15,90000
120000,Diesel,Individual,Manual,Third Owner,23.0,1396.0,90.0,5.0,9,250000
35000,Diesel,Individual,Manual,First Owner,27.39,1248.0,74.0,5.0,3,800000
100000,Diesel,Individual,Manual,Second Owner,23.59,1364.0,67.1,5.0,9,350000
50000,Diesel,Dealer,Automatic,First Owner,18.53,1968.0,187.74,5.0,7,1689999
35500,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5.0,2,650000
96272,Diesel,Individual,Manual,First Owner,25.44,936.0,57.6,5.0,7,210000
200000,Diesel,Individual,Automatic,First Owner,11.18,2696.0,184.0,7.0,7,850000
129000,Diesel,Individual,Manual,Third Owner,17.0,1405.0,70.0,5.0,13,90177
120000,Diesel,Individual,Manual,First Owner,25.8,1498.0,98.6,5.0,5,365000
70000,Petrol,Individual,Manual,Second Owner,19.1,1197.0,85.8,5.0,6,409000
51500,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0,4,315000
60000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,5,550000
31100,Petrol,Dealer,Manual,First Owner,22.7,799.0,53.64,5.0,3,270000
35000,Petrol,Individual,Manual,Second Owner,23.84,1199.0,84.0,5.0,2,409999
90000,Diesel,Individual,Manual,First Owner,25.44,936.0,57.6,5.0,8,170000
70000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,5,1000000
30000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,8.0,2,260000
19000,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5.0,2,900000
90000,Diesel,Individual,Manual,First Owner,27.28,1047.0,69.0,5.0,2,450000
80000,Petrol,Individual,Manual,Second Owner,0.0,1086.0,62.1,5.0,10,110000
85000,Diesel,Individual,Manual,Third Owner,21.1,1248.0,73.9,5.0,11,180000
30000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,5.0,3,380000
65000,Petrol,Individual,Manual,First Owner,17.92,1086.0,62.1,5.0,7,180000
80000,Diesel,Individual,Manual,First Owner,25.4,1186.0,73.97,5.0,2,570000
54000,Diesel,Individual,Automatic,First Owner,16.0,1997.0,140.0,7.0,4,975000
70000,Diesel,Individual,Manual,Second Owner,24.0,1120.0,70.0,5.0,6,350000
70000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5.0,6,300000
4000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.86,5.0,1,693000
80000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,4,511000
25000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,2,950000
25000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,1,800000
92686,Diesel,Dealer,Manual,Second Owner,21.9,1396.0,88.76,5.0,8,340000
70000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5.0,6,229999
85000,Diesel,Individual,Manual,Second Owner,21.1,1248.0,73.9,5.0,9,204999
25000,Petrol,Individual,Automatic,First Owner,17.8,1496.0,105.5,5.0,2,1100000
120000,Diesel,Individual,Automatic,First Owner,11.36,2755.0,171.5,7.0,4,1516000
90000,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,7.0,7,300000
120000,Diesel,Individual,Manual,First Owner,25.0,1396.0,69.0,5.0,8,300000
20000,Diesel,Individual,Manual,First Owner,15.96,2523.0,63.0,9.0,2,530000
70000,Petrol,Individual,Manual,Third Owner,23.1,998.0,67.04,5.0,5,330000
52000,Petrol,Individual,Manual,First Owner,17.19,1197.0,81.86,5.0,2,530000
58000,Petrol,Individual,Manual,Second Owner,15.37,1196.0,73.0,7.0,4,370000
30000,Diesel,Individual,Automatic,First Owner,11.36,2755.0,171.5,7.0,4,1800000
50000,Diesel,Individual,Manual,Second Owner,21.19,1396.0,88.73,5.0,5,610000
60000,Diesel,Individual,Manual,First Owner,20.3,1248.0,75.0,5.0,9,300000
63063,Petrol,Dealer,Automatic,First Owner,18.9,1197.0,82.0,5.0,5,465000
105358,Diesel,Individual,Manual,Third Owner,17.8,1399.0,67.0,5.0,8,280000
40000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,4,875000
22000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,2,285000
44000,Petrol,Individual,Manual,Second Owner,16.1,1298.0,88.2,5.0,14,120000
120000,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,5.0,6,206000
10500,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5.0,4,512000
32000,Diesel,Individual,Manual,First Owner,15.1,2179.0,155.0,7.0,1,1700000
60000,Diesel,Individual,Manual,Second Owner,24.4,1120.0,71.0,5.0,5,400000
122000,Diesel,Individual,Automatic,Second Owner,18.48,1995.0,177.0,5.0,12,1100000
49900,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,5.0,5,270000
80000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,9,235000
35000,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,5.0,1,860000
25000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5.0,1,757000
40000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5.0,5,300000
60000,Diesel,Individual,Manual,First Owner,25.6,1498.0,97.9,5.0,2,1031000
70000,Petrol,Individual,Manual,Second Owner,15.2,1193.0,65.0,5.0,9,120000
108000,Diesel,Individual,Manual,First Owner,21.19,1396.0,88.73,5.0,5,600000
90000,Diesel,Individual,Manual,First Owner,21.1,1248.0,73.9,5.0,11,240000
80000,Diesel,Individual,Manual,First Owner,25.83,1498.0,99.0,5.0,5,480000
120000,Diesel,Individual,Manual,Second Owner,18.1,1493.0,110.0,5.0,13,245000
50000,Diesel,Individual,Manual,First Owner,22.27,1498.0,108.6,5.0,3,750000
120000,Petrol,Individual,Manual,Second Owner,16.1,1298.0,88.2,5.0,15,130000
50000,Petrol,Individual,Manual,Second Owner,16.0,995.0,63.0,5.0,11,90000
50000,Petrol,Individual,Manual,Third Owner,19.7,796.0,46.3,5.0,13,150000
40000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,9,215000
19500,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,2,655000
120000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,8,525000
60000,Diesel,Individual,Manual,First Owner,19.3,1248.0,73.9,5.0,8,380000
70000,Diesel,Individual,Manual,Second Owner,18.49,1493.0,100.0,7.0,2,800000
40000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,4,500000
170000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,5,370000
30000,Petrol,Individual,Manual,First Owner,17.5,1197.0,85.8,5.0,8,450000
10000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5.0,2,390000
40000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,7.0,5,1150000
